,epithelial cell of proximal tubule,fibroblast,glomerular visceral epithelial cell,kidney capillary endothelial cell,kidney connecting tubule epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle thick ascending limb epithelial cell,leukocyte,mesangial cell,parietal epithelial cell,renal alpha-intercalated cell,renal beta-intercalated cell,renal principal cell
ENSG00000099625,0.021002192,0.03293388,0.017438801,0.0067630014,0.15597951,0.069608144,0.12234103,0.00056234584,0.046930667,0.030579744,0.076176174,0.07494684,0.34473765
ENSG00000267778,0.10155823,0.023144696,0.023144696,0.023144696,0.26870817,0.023144696,0.18284625,0.023144696,0.023144696,0.023144696,0.23858505,0.023144696,0.023144696
ENSG00000099624,0.10526523,0.016872132,0.04102494,0.05514874,0.0858519,0.08678492,0.11961589,0.0779419,0.067659594,0.07673172,0.10190179,0.06303764,0.10216349
ENSG00000167470,0.08710404,0.11858316,0.025469609,0.088008806,0.08758723,0.023404166,0.06556834,0.078244604,0.075476706,0.09210449,0.04424324,0.05942151,0.15478416
ENSG00000099622,0.08650494,0.07371088,0.09237955,0.051376373,0.06619527,0.08466591,0.08189014,0.083896935,0.09045851,0.07857371,0.07829573,0.049515434,0.08253666
ENSG00000228300,0.11885763,0.00034931587,0.20210822,0.033946656,0.090323634,0.075041,0.07121706,0.00034931587,0.021663424,0.059645787,0.09116194,0.10506455,0.13027138
ENSG00000160953,0.09396228,0.108475156,0.13952777,0.04386106,0.06243983,0.059765697,0.059325073,0.02563831,0.08987112,0.085391454,0.0661325,0.098822035,0.066787735
ENSG00000115286,0.10150651,0.019388141,0.03480029,0.03642656,0.101354554,0.12295794,0.1066072,0.026773473,0.09875508,0.05889237,0.13426669,0.07961696,0.07865428
ENSG00000248015,0.28617966,0.0018008789,0.0018008789,0.02064237,0.16429217,0.07099244,0.10131612,0.0018008789,0.0018008789,0.19298416,0.10359966,0.0018008789,0.050988987
ENSG00000130005,0.20604031,0.12080409,0.05181208,0.020370087,0.053195577,0.055590503,0.029034946,0.2743531,0.04513586,0.048908133,0.02707338,0.00031888974,0.06736302
ENSG00000071626,0.088202715,0.085321315,0.052166875,0.07373923,0.08678062,0.08501345,0.10786961,0.07073036,0.032914866,0.053834297,0.076547645,0.1050199,0.08185924
ENSG00000115268,0.104774475,0.07239539,0.0663645,0.07823347,0.050810255,0.06417595,0.058878064,0.1170095,0.10186567,0.0640535,0.08529264,0.07593335,0.060213186
ENSG00000268798,0.18763328,0.0046136947,0.12124783,0.0046136947,0.098990455,0.021727273,0.08520373,0.0046136947,0.20336978,0.0920456,0.16671361,0.0046136947,0.0046136947
ENSG00000115266,0.15748395,0.014935027,0.014935027,0.014935027,0.014935027,0.06784834,0.014935027,0.014935027,0.014935027,0.014935027,0.15844305,0.48180938,0.014935027
ENSG00000267317,0.07714263,0.003977503,0.19293116,0.047178585,0.08162671,0.17079696,0.043909207,0.003977503,0.003977503,0.08060828,0.28591904,0.003977503,0.003977503
ENSG00000119559,0.07596944,0.082935974,0.05794576,0.051751718,0.085942805,0.078561254,0.09052058,0.15328644,0.039258633,0.057932794,0.08918403,0.06448119,0.072229184
ENSG00000115257,0.19438654,0.07553253,0.07025005,0.014957283,0.05337148,0.096835606,0.112280875,0.04286803,0.022803288,0.047452312,0.08019741,0.04124801,0.14781658
ENSG00000115255,0.5254558,0.102533236,0.0015163386,0.0731156,0.06337029,0.024067678,0.07795585,0.0015163386,0.0015163386,0.0015163386,0.07464015,0.0015163386,0.05127976
ENSG00000185761,0.026131136,0.7710332,0.0020277177,0.06877334,0.115812734,0.0020277177,0.0020277177,0.0020277177,0.0020277177,0.0020277177,0.0020277177,0.0020277177,0.0020277177
ENSG00000267092,0.23386733,0.016186101,0.016186101,0.016186101,0.4472488,0.07954933,0.09365945,0.016186101,0.016186101,0.016186101,0.016186101,0.016186101,0.016186101
ENSG00000185988,0.065696456,0.0062315324,0.0062315324,0.0062315324,0.24403974,0.053011317,0.0062315324,0.0062315324,0.31604236,0.0062315324,0.0062315324,0.19907951,0.07850991
ENSG00000181588,0.03986905,0.12746358,0.07024792,0.025977504,0.09278486,0.11368321,0.15087704,0.002324722,0.1024728,0.002324722,0.17411126,0.002324722,0.09553859
ENSG00000071655,0.15410386,0.09351744,0.05678391,0.045069072,0.050995857,0.06875922,0.06353114,0.064393274,0.038061276,0.08630151,0.10201586,0.08530007,0.09116751
